,Player,Position,YRS,AVG Salary,Dollars
131,Francisco Pena (minor),C,1.0,"$675,000","$675,000"
132,Zac Rosscup,RP,1.0,"$610,000","$610,000"
133,Adam Moore (minor),C,1.0,"$600,000","$600,000"
134,Josh Thole (minor),C,1.0,"$600,000","$600,000"
135,Kendall Graveman,SP,1.0,"$575,000","$575,000"
136,Homer Bailey (minor),SP,1.0,"$555,000","$555,000"
137,Troy Tulowitzki,SS,1.0,"$555,000","$555,000"
138,Matt Wieters (minor),C,1.0,,
139,Trevor Plouffe (minor),3B,,,
140,Derek Dietrich (minor),2B,,,
141,Cliff Pennington (minor),SS,,,
142,Lucas Luetge (minor),RP,,,
143,Stephen Vogt (minor),C,,,
144,Eric Young Jr. (minor),CF,,,
145,Tyler Cloyd (minor),RP,,,
146,Rene Rivera (minor),C,,,
147,Sean Burnett (minor),RP,,,
148,Logan Ondrusek (minor),RP,,,
149,Nick Franklin (minor),LF,,,
150,Jason Hammel (minor),RP,,,
151,Matt Davidson (minor),DH,,,
152,J.B. Shuck (minor),LF,1.0,,
153,Emilio Bonifacio (minor),CF,,,
154,Chris Stewart (minor),C,,,
155,Justin De Fratus (minor),RP,,,
156,Gordon Beckham (minor),2B,1.0,,
157,Hector Sanchez (minor),C,,,
158,Carlos Torres (minor),RP,,,
159,Andrew Romine (minor),SS,,,
160,Colin Rea (minor),SP,,,
161,Taylor Guerrieri (minor),SP,1.0,,
162,Luis Avilan (minor),RP,,,
163,Jake Petricka,RP,,,
164,Paulo Orlando (minor),CF,,,
165,Tyler Lyons (minor),RP,,,
166,Carson Smith (minor),RP,1.0,,
167,Alex Meyer (minor),SP,1.0,,
168,Anthony Bass (minor),RP,1.0,,
169,Jamie Callahan (minor),P,,,
170,Adrian Sampson (minor),RP,,,
171,Gregor Blanco (minor),RF,1.0,,
172,Eric Sogard (minor),2B,,,
173,Shane Robinson (minor),CF,,,
174,Jeanmar Gomez (minor),RP,1.0,,
175,Phillip Evans (minor),3B,,,
176,Rajai Davis (minor),CF,1.0,,
177,Bubba Starling (minor),CF,1.0,,
178,Jason Adam (minor),RP,,,
179,Chase d'Arnaud (minor),3B,1.0,,
180,Zac Curtis (minor),RP,1.0,,
181,Matt Bush (minor),RP,1.0,,
182,Pedro Florimon (minor),SS,,,
183,Tom Milone (minor),RP,1.0,,
184,Bobby Wilson (minor),C,1.0,,
185,Rafael Montero (minor),RP,1.0,,
186,Pedro Alvarez (minor),1B,1.0,,
187,James Hoyt (minor),RP,1.0,,
188,Tony Renda (minor),2B,1.0,,
189,Jace Peterson (minor),3B,1.0,,
190,Peter Bourjos (minor),RF,1.0,,
191,James Shields,SP,,,
192,Bryce Harper,CF,,"$31,053,237",
193,David Wright,3B,,,
194,Victor Martinez,DH,,,
195,Adam Jones,CF,,"$16,020,959",
196,Dallas Keuchel,SP,,"$22,351,287",
197,Brandon McCarthy,SP,,,
198,Craig Kimbrel,RP,,"$16,512,151",
199,Denard Span,LF,,,
200,A.J. Ramos,RP,,,
201,Gio Gonzalez,SP,,,
202,Carlos Gonzalez,RF,,,
203,Ryan Madson,RP,,,
204,Evan Gattis,DH,,"$7,787,265",
205,Logan Morrison,DH,,,
206,Tony Sipp,RP,,,
207,Jim Johnson,RP,,,
208,Miguel Gonzalez,SP,,,
209,Carlos Gomez,RF,,,
210,Doug Fister,SP,,,
211,Martin Maldonado,C,,"$3,954,853",
212,Adam Warren,RP,,,
213,Bud Norris,RP,,"$8,866,267",
214,Colby Rasmus,LF,,,
215,Hisashi Iwakuma,SP,,,
216,Kyle Lohse,SP,,,
217,Yovani Gallardo,SP,,,
218,Chris Young,RF,,,
219,Jose Reyes,SS,,,
220,Alex Wilson,RP,,,
221,Aaron Loup,RP,,,
222,Bartolo Colon,SP,,,
223,Chris Carter,1B,,,
224,Clay Buchholz,SP,,,
225,Edwin Jackson,SP,,,
226,Blake Wood,RP,,,
227,A.J. Ellis,C,,,
228,Craig Breslow,RP,,,
229,Will Middlebrooks,3B,,,
230,Chris O'Grady,RP,,,
231,Carter Capps,RP,,,
232,Joaquin Benoit,RP,,,
233,A.J. Griffin,RP,,,
234,Anthony Recker,C,,,
